id,grinder,grind_size,clicks_per_round,created_at,modified_at,created_by,modified_by,version
18e9572e-0058-474f-881d-5defd1206912,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,1300-1400,40-43,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206913,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c1,1400-1500,0,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206914,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c2,200,8,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206915,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c2,200-300,9-13,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206916,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c2,300-400,14-18,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206917,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c2,400-500,19-23,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206918,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c2,500-600,24-27,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206919,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c2,600-700,28-32,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206920,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c2,700-800,33-37,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
18e9572e-0058-474f-881d-5defd1206921,fb76c6b1-e77a-4cc1-aa3d-a6c0f9c658c2,800-900,38-42,2021-12-06 17:21:25.000000,2021-12-06 17:21:25.000000,test,test,0
